Company name,Eligibility Criteria,Skills required,Maximum package,Minimum package,Technical Skills,Posts Available,,,,,,
Infosys,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3.5L,Data structures and Algorithms,"Data Analyst,Software developer",,,,,,
Larsen&Toubro,Max of 2 backlogs/No drop in any semester,"Clear communication,Team skills,perseverance,Time Management,Confidence",7L,3L,Artificial Intelligence,"Programmer,Python Developer",,,,,,
Wipro,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8.5L,3L,Data Science,"Product manager,UX Designer",,,,,,
Huawei,75% aggregate in Btech,"Clear communication,Team skills,perseverance,Time Management,Confidence",7.5L,4L,Full Stack Development,"Computer Programmer,Mobile Developer",,,,,,
Flipkart,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3L,Mobile App Development,"Network Engineer,Front-end Developer",,,,,,
Tech Mahindra,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",9L,3.5L,Data structures and Algorithms,"Full Stack Developer,System Engineer",,,,,,
Cognizant,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8.5L,3L,Data Science,"IT coordinator,Technical Writer",,,,,,
Mindtree,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",12L,3.5L,Strong Programming Foundation,"Application Analyst,Web Developer",,,,,,
TCS,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",11L,4L,strong Programming Foundation(Python),"Software Developer,Programmer",,,,,,
IBM,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",12L,5L,Artificial Intelligence,"IT Analyst,Software QA Engineer",,,,,,
Accenture,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8.5L,3L,Full Stack Development,System Adminstrator,,,,,,
Microsoft,75% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",15L,5L,strong Programming Foundation,"Program Anlyst,Entry Level Software Developer",,,,,,
Apple Inc,85% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",75L,12L,"Strong programming Foundation(C,C++)","Application Developer,Programmer",,,,,,
Google,85% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",1 CRORE,25L,"Strong Programming Foundation(C,C++/python including AI)","Data Moduler,Intelligence Analyst",,,,,,
Amazon,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",9L,4L,Mobile App Development,"Database Adminstrator,Net Developer",,,,,,
The Coca Cola Co.,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",12L,5L,Data Science,"Software test Engineer,Web Developer",,,,,,
Pepsi Co.,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",12L,4L,Data Science,"Senior Computer Programmer,Software Developer",,,,,,
Mahindra Group,80% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",18L,7L,Data Structures and Algorithms,"product Manager,Network Engineer",,,,,,
Procter&Gamble,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",6L,3L,Data Science,"Full-Stack Developer,System Engineer",,,,,,
Sony Corporation,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3.5L,Data structures and Algorithms,"Mobile Developer,Computer Network architect",,,,,,
Samsung,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",10L,4L,Data structures and Algorithms,"Java Developer,Programmer",,,,,,
TATA Group,80% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",20L,8L,Data Science,"Data Scientist,Coder",,,,,,
Nestle,75% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",15L,6L,Data Science,"Back-end Developer,Software Architect",,,,,,
Aditya Birla Group,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",7L,3L,Data Science,"Software Engineering manager,Web Developer",,,,,,
Hewlett Packard Enterprise,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3L,Data Science,"Sofware Architect,Technical Writer",,,,,,
Deloitte,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",7.5L,3.5L,Data Science,"Application Analyst,Web Developer",,,,,,
Dell,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",10L,5L,Strong Programming Foundation,"Python Developer,System Analyst",,,,,,
Unilever,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3L,Data Structures and Algorithms,"System Adminstrator,Program Analyst",,,,,,
CITI Group,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",9L,4L,Data structures and Algorithms,"Software Developer,Application Developer",,,,,,
LTI,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",7L,3.5L,Artificial Intelligence,"Mobile Developer,Network Engineer",,,,,,
Nike Inc,75% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",11L,4L,Artificial Intelligence,"IT Testing,Product Manager",,,,,,
Johnson&Johnson,80% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",14L,5L,Data science,"Net Developer,Programmer",,,,,,
Adidas,75% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",13L,6L,Data Science/programming languages,"Software Developer,Data ScientistABC",75% IN ENG,"COM,PRO",10 L,2.5 L,PYTHON,SOFTWARE DEVELOPER
