Company name,Eligibility Criteria,Skills required,Maximum package,Minimum package,Technical Skills
Infosys,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3.5L,Data structures and Algorithms
Larsen&Toubro,Max of 2 backlogs/No drop in any semester,"Clear communication,Team skills,perseverance,Time Management,Confidence",7L,3L,Artificial Intelligence
Wipro,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8.5L,3L,Data Science
Huawei,75% aggregate in Btech,"Clear communication,Team skills,perseverance,Time Management,Confidence",7.5L,4L,Full Stack Development
Flipkart,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3L,Mobile App Development
Tech Mahindra,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",9L,3.5L,Data structures and Algorithms
Cognizant,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8.5L,3L,Data Science
Mindtree,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",12L,3.5L,Strong Programming Foundation
TCS,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",11L,4L,strong Programming Foundation(Python)
IBM,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",12L,5L,Artificial Intelligence
Accenture,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8.5L,3L,Full Stack Development
Microsoft,75% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",15L,5L,strong Programming Foundation
Apple Inc,85% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",75L,12L,"Strong programming Foundation(C,C++)"
Google,85% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",1 CRORE,25L,"Strong Programming Foundation(C,C++/python including AI)"
Amazon,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",9L,4L,Mobile App Development
The Coca Cola Co.,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",12L,5L,Data Science
Pepsi Co.,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",12L,4L,Data Science
Mahindra Group,80% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",18L,7L,Data Structures and Algorithms
Procter&Gamble,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",6L,3L,Data Science
Sony Corporation,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3.5L,Data structures and Algorithms
Samsung,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",10L,4L,Data structures and Algorithms
TATA Group,80% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",20L,8L,Data Science
Nestle,75% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",15L,6L,Data Science
Aditya Birla Group,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",7L,3L,Data Science
Hewlett Packard Enterprise,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3L,Data Science
Deloitte,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",7.5L,3.5L,Data Science
Dell,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",10L,5L,Strong Programming Foundation
Unilever,65% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",8L,3L,Data Structures and Algorithms
CITI Group,70% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",9L,4L,Data structures and Algorithms
LTI,60% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",7L,3.5L,Artificial Intelligence
Nike Inc,75% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",11L,4L,Artificial Intelligence
Johnson&Johnson,80% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",14L,5L,Data science
Adidas,75% in Engineering,"Clear communication,Team skills,perseverance,Time Management,Confidence",13L,6L,Data Science/programming languages

